account_id,aircraft_operator_id,,monitoring_plan_id,monitoring_plan_start_date,monitoring_plan_expiration_Date,subsidiary_undertaking_name,parent_undertaking_name,EPRTR_id,call_sign,initial_emissions_year,first_address_line,second_address_line,postcode,city,country,lat,lon,main_activity
90574,200103,27702,BMLFUW-UW.1.3.2/0354-V/4/2009,2010-01-01,,,,,JAG,2013,,,,,AT,,,10-Aircraft operator activities
90727,200108,194,BMFLUW-UW.1.3.2/0084-V/4/2010,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
90728,200109,36057,UW.1.3.2/0085-V/4/2011,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
90423,200146,440,BMNT-UW.1.3.2/0189-IV/1/2019,2010-01-01,,,,,AUA,2012,,,,,AT,,,10-Aircraft operator activities
90730,200165,28567,BMLFUW-UW.1.3.2/0130-V/4/2010,2010-01-01,,,,,OE-HMR,2012,,,,,AT,,,10-Aircraft operator activities
90705,200180,209,BMFLUW-UW.1.3.2/0372-V/4/2009,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
90607,200265,30323,BMFLUW-UW.1.3.2/0255-V/4/2010,2009-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
90572,200433,29932,BMLFUW-UW.1.3.2/0261-V/4/2013,2010-01-01,,,,,NLY,2012,,,,,AT,,,10-Aircraft operator activities
90788,200442,1178,BMLFUW-UW.1.3.2/0010-V/4/2011,2010-01-01,,,,,OE-HIT,2012,,,,,AT,,,10-Aircraft operator activities
106246,201018,28512,BMLFUW-UW.1.3.2/0030-V/4/2011,2010-01-01,,,,,ISK,2012,,,,,AT,,,10-Aircraft operator activities
106956,201342,32040,BMLFUW‐UW.1.3.2/0247‐V/4/2010,2010-01-01,,,,,VJS,2012,,,,,AT,,,10-Aircraft operator activities
108150,201494,25989,BMLFUW‐UW.1.3.2/0356‐V/4/2009,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
108417,201505,13030,BMLFUW‐UW.1.3.2/0121‐V/4/2011,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
106794,201519,27885,BMLFUW-UW.1.3.2/0014-V/4/2011,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
106369,201525,2168,BMLFUW‐UW.1.3.2/0364‐V/4/2009,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
106814,201564,19210,BMLFUW-UW.1.3.2/0001-I/4/2015,2010-01-01,,,,,AUI,2012,,,,,AT,,,10-Aircraft operator activities
107851,201641,33061,BMNT-UW.1.3.2/0194-IV/1/2019,2010-01-01,,,,,AOJ,2012,,,,,AT,,,10-Aircraft operator activities
108410,201836,15451,BMLFUW-UW.1.3.2/0121-V/4/2010,2012-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
108119,201928,37796,BMLFUWUW.1.3.2/0388-V/4/2012,2011-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
108025,202012,25637,BMLFUW-UW.1.3.2/0094-V/4/2011,2010-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
108123,202607,35956,BMLFUWUW.1.3.2/0110-V/4/2011,2012-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
108499,202913,30222,BMNT-UW.1.3.2/0006-IV/1/2019,2012-01-01,,,,,LDM,2012,,,,,AT,,,10-Aircraft operator activities
108806,203332,38061,BMLFUW-UW.1.3.2/0061-I/4/2015,2012-01-01,,,,,M-STEP M-ROMA,2012,,,,,AT,,,10-Aircraft operator activities
108796,203339,36370,BMLFUW-UW.1.3.2/0166-V/4/2011,2012-01-01,,,,,,2012,,,,,AT,,,10-Aircraft operator activities
108716,203383,31326,BMNT-UW.1.3.2/0197-IV/1/2019,2009-01-01,,,,,GLJ,2012,,,,,AT,,,10-Aircraft operator activities
108697,203413,9965,BMLFUW-UW.1.3.2/0011-V/4/2011,2009-01-01,,,,,C-GMGX,2012,,,,,AT,,,10-Aircraft operator activities
112689,206907,39219,BMLFUW-UW.1.3.2/0372-I/4/2014,2013-01-01,,,,,,2013,,,,,AT,,,10-Aircraft operator activities
113430,207233,33517,BMLFUW-UW.1.3.2/0062-I/4/2017,2015-01-01,,,,,MJF,2013,,,,,AT,,,10-Aircraft operator activities
114548,207782,8421,BMLFUW-UW.1.3.2/0321-I/4/2016,2015-01-01,,,,,,2014,,,,,AT,,,10-Aircraft operator activities
115048,208967,37260,BMNT-UW.1.3.2/0195-IV/1/2019,2016-01-01,,,,,PE,2016,,,,,AT,,,10-Aircraft operator activities
116605,210600,45298,BMNT-UW.1.3.2/0048-IV/1/2019,2018-01-01,,,,,LDX,2018,,,,,AT,,,10-Aircraft operator activities
116573,210636,45083,BMNT-UW.1.3.2/0032-IV/1/2019,2019-01-01,,,,,EJU,2019,,,,,AT,,,10-Aircraft operator activities
117187,210838,45735,BMNT-UW.1.3.2/0152-IV/1/2019,2018-01-01,,,,,FOO,2018,,,,,AT,,,10-Aircraft operator activities
90706,200797,27011,TNTMPE2011_1.WA00TAY004,2012-01-01,,,,,3V,2012,,,,,BE,,,10-Aircraft operator activities
106112,201275,f11102,FEDEX_MP2011,2012-01-01,,,,,N1FE,2012,,,,,BE,,,10-Aircraft operator activities
106127,201297,28453,TCW_MP2011,2012-01-01,,,,,Phoeninx,2012,,,,,BE,,,10-Aircraft operator activities
106472,201543,00908,BEL_MP2011,2012-01-01,,,,,BEL,2012,,,,,BE,,,10-Aircraft operator activities
106549,201565,27975,SQC_MP2011,2012-01-01,,,,,SQC,2012,,,,,BE,,,10-Aircraft operator activities
106726,201645,30011,BEAUTY_MP2011,2012-01-01,,,,,BEAUTY,2012,,,,,BE,,,10-Aircraft operator activities
106775,201663,33612,AJK_MP2011,2012-01-01,,,,,AJK,2012,,,,,BE,,,10-Aircraft operator activities
107132,201950,01084,MILMPE2011_1.1084-MPC02-2012-150,2012-01-01,,,,,BAF,2012,,,,,BE,,,10-Aircraft operator activities
107330,202193,32432,EGYPTAIRCARGOMPE2011,2012-01-01,,,,,MSX,2012,,,,,BE,,,10-Aircraft operator activities
107524,202434,27769,SEA-AIR_MP2011,2012-01-01,,,,,N680SE,2012,,,,,BE,,,10-Aircraft operator activities
107916,202757,04369,CALMPE2011_1,2012-01-01,,,,,ICL,2012,,,,,BE,,,10-Aircraft operator activities
107941,202832,28582,IUWMPE2011_1,2012-01-01,,,,,HB-IUW,2012,,,,,BE,,,10-Aircraft operator activities
108224,203093,27709,CKSMPE2011,2012-01-01,,,,,CKS,2012,,,,,BE,,,10-Aircraft operator activities
108383,203227,09542,IP_MP2011,2012-01-01,,,,,XXXIP,2012,,,,,BE,,,10-Aircraft operator activities
108377,203228,13457,FP_MP2011,2012-01-01,,,,,IGA,2012,,,,,BE,,,10-Aircraft operator activities
108382,203229,13603,VFC_MP2011,2012-01-01,,,,,XXXVFC,2012,,,,,BE,,,10-Aircraft operator activities
108381,203230,29427,FS_MP2011,2012-01-01,,,,,FYG,2012,,,,,BE,,,10-Aircraft operator activities
108380,203231,32909,Cresair_MP2011,2012-01-01,,,,,XXXCA,2012,,,,,BE,,,10-Aircraft operator activities
108379,203232,35334,SP_MP2011,2012-01-01,,,,,XXXSP,2012,,,,,BE,,,10-Aircraft operator activities
108378,203233,36269,HB-GJU_MP2011,2012-01-01,,,,,HB-GJU,2012,,,,,BE,,,10-Aircraft operator activities
108386,203234,26688,N902NC_MP2011,2012-01-01,,,,,N902NC,2012,,,,,BE,,,10-Aircraft operator activities
108409,203255,30020,30020-MPCO2-2016-100,2012-01-01,,,,,TUP,2012,,,,,BE,,,10-Aircraft operator activities
108466,203295,24578,GAFI_MP2011,2012-01-01,,,,,3B-PGF,2012,,,,,BE,,,10-Aircraft operator activities
108514,203329,31207,N604FJ_MPE2011,2012-01-01,,,,,XXX,2012,,,,,BE,,,10-Aircraft operator activities
108547,203357,26784,SOO_MPE2011,2012-01-01,,,,,SOO,2012,,,,,BE,,,10-Aircraft operator activities
108602,203385,07649,ABX_MPE2011,2012-01-01,,,,,ABX,2012,,,,,BE,,,10-Aircraft operator activities
108603,203386,f11336,CorpWings_MPE2011,2012-01-01,,,,,XXX,2012,,,,,BE,,,10-Aircraft operator activities
111665,206221,f12977,XXX_MP2011,2012-01-01,,,,,XXX,2012,,,,,BE,,,10-Aircraft operator activities
111755,206281,00123,AAB_MP2011,2012-01-01,,,,,AAB,2012,,,,,BE,,,10-Aircraft operator activities
112148,206582,31102,ACT_MP2011,2011-01-01,,,,,RUN,2012,,,,,BE,,,10-Aircraft operator activities
112565,206951,29980,CHH_MP2011,2012-01-01,,,,,CHH,2012,,,,,BE,,,10-Aircraft operator activities
113399,207689,2344,2344-MPCO2-2016-150,2015-01-01,,,,,SVA,2012,,,,,BE,,,10-Aircraft operator activities
113398,207690,20065,VLM_MP2015,2015-01-01,,,,,VLM,2015,,,,,BE,,,10-Aircraft operator activities
114957,209053,38484,ATG_MP2016,2016-01-01,,,,,ATG,2016,,,,,BE,,,10-Aircraft operator activities
116588,210660,01084,MILMPE2011_1.1084-MPC02-2012-150,2018-01-01,,,,,BAF,2018,,,,,BE,,,10-Aircraft operator activities
861625,214182,46463,CHALLENGE_AIRLINES_MP2020,2020-01-01,,,,,CHG,2020,,,,,BE,,,10-Aircraft operator activities
1020625,214420,29424,29424-MPCO2-2020-150,2020-01-01,,,,,ACP,2020,,,,,BE,,,10-Aircraft operator activities
1131125,214781,00000,WESTERN_GLOBAL_MP2020,2020-01-01,,,,,WGN,2020,,,,,BE,,,10-Aircraft operator activities
90096,200120,11775,4/2009,2009-01-01,,,,,,2012,,,,,BG,,,10-Aircraft operator activities
90097,200122,28445,5/2011,2009-01-01,,,,,,2012,,,,,BG,,,10-Aircraft operator activities
90130,200160,29056,9/2009,2009-01-01,,,,,,2012,,,,,BG,,,10-Aircraft operator activities
90175,200204,27538,1/2009,2009-01-01,,,,,,2012,,,,,BG,,,10-Aircraft operator activities
90807,200696,12495,19550-0026,2010-01-01,,,,,CTN,2012,,,,,DE,,,10-Aircraft operator activities
90030,200021,866,CY-ETS-AV-003,2012-01-01,,,,,CYP,2012,,,,,CY,,,10-Aircraft operator activities
90090,200105,27554,CY-ETS-AV-004,2012-01-01,,,,,,2012,,,,,CY,,,10-Aircraft operator activities
90093,200118,30932,CY-ETS-AV-006,2012-01-01,,,,,,2012,,,,,CY,,,10-Aircraft operator activities
90094,200119,34989,CY-ETS-AV-001,2012-01-01,,,,,,2012,,,,,CY,,,10-Aircraft operator activities
90170,200200,20324,CY-ETS-AV-002,2012-01-01,,,,,,2012,,,,,CY,,,10-Aircraft operator activities
108877,203584,7132,CY-ETS-AV-005,2012-01-01,,,,,,2012,,,,,CY,,,10-Aircraft operator activities
111609,206129,f10401,CY-ETS-AV-009,2013-01-01,,,,,,2012,,,,,CY,,,10-Aircraft operator activities
111790,206304,35759,1,2014-01-01,,,,,,2013,,,,,CY,,,10-Aircraft operator activities
112686,207028,8214,Funair Corporation AEMP 8214,2012-01-01,,,,,,2013,,,,,CY,,,10-Aircraft operator activities
113909,208042,37570,CY-ETS3-MPAV-011,2013-01-01,,,,,,2013,,,,,CY,,,10-Aircraft operator activities
115000,209075,43511,CY/ETS3/MPAV/013/1,2016-01-01,,,,,,2016,,,,,CY,,,10-Aircraft operator activities
115008,209079,31143,CY-ETS-AV-010,2016-01-01,,,,,OXM,2015,,,,,CY,,,10-Aircraft operator activities
116088,210168,43177,CY/ETS3/MPAV/014/1,2017-01-01,,,,,,2017,,,,,CY,,,10-Aircraft operator activities
116680,210705,44370,CY-ETS-AV-015,2018-01-01,,,,,,2018,,,,,CY,,,10-Aircraft operator activities
107049,201395,F10379,CZA-002-10,2010-01-01,,,,,N2T,2012,,,,,CZ,,,10-Aircraft operator activities
106672,201399,2276,CZA-003-11,2012-01-01,,,,,N43R,2012,,,,,CZ,,,10-Aircraft operator activities
106803,201652,859,CZA-001-10,2010-01-01,,,,,,2012,,,,,CZ,,,10-Aircraft operator activities
106804,201653,36746,CZA-001-12,2012-01-01,,,,,,2012,,,,,CZ,,,10-Aircraft operator activities
107287,201679,24903,CZA-003-10,2010-01-01,,,,,TVS,2012,,,,,CZ,,,10-Aircraft operator activities
108470,201906,30145,CZA-001-11,2010-01-01,,,,,N680GA,2012,,,,,CZ,,,10-Aircraft operator activities
108469,202252,34430,CZA-002-11,2010-01-01,,,,,P4-GVV,2012,,,,,CZ,,,10-Aircraft operator activities
108471,202253,36763,CZA-006-11,2010-01-01,,,,,P4NGK,2012,,,,,CZ,,,10-Aircraft operator activities
108472,202824,35361,CZA-004-11,2010-01-01,,,,,,2012,,,,,CZ,,,10-Aircraft operator activities
108740,203031,35333,CZA-004-10,2012-01-01,,,,,,2012,,,,,CZ,,,10-Aircraft operator activities
108757,203272,f13143,CZA-015-13,2012-01-01,,,,,,2012,,,,,CZ,,,10-Aircraft operator activities
109181,203469,32935,CZA-005-11,2011-01-01,,,,,N604BB,2012,,,,,CZ,,,10-Aircraft operator activities
108963,203631,35825,CZA-008-10,2012-01-01,,,,,,2012,,,,,CZ,,,10-Aircraft operator activities
113450,207687,30560,CZA-016-16,2015-01-01,,,,,,2015,,,,,CZ,,,10-Aircraft operator activities
115904,209931,44173,CZA-017-18,2017-01-01,,,,,P4GVI,2017,,,,,CZ,,,10-Aircraft operator activities
106245,201405,9918,9918-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
106250,201417,781,781-1,2012-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
106251,201418,f10218,f10218-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
106252,201419,12230,12230-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
106580,201580,35196,3596-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
106671,201626,46967,46967-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
106677,201630,32158,32158-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107143,201992,22466,22466-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107269,202134,33803,33803-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107469,202332,f10500,f10500-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107533,202452,142,142-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107903,202817,4357,4357-1,2012-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107990,202890,3456,3456-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
107994,202893,366,366-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
108259,203125,34774,34774-1,2010-01-01,,,,,,2012,,,,,DK,,,10-Aircraft operator activities
