account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1020625,,,,,,,,,,,,,,,,,,,,,,,,,,
106049,,,,,,,,75,41,41,41,41,41,41,41,41,36,35,35,,,,,,,
106068,,,,,,,,4586700,1297,1297,1297,1297,1297,1297,1297,1304,,,,,,,,,,
106071,,,,,,,,5560944,4610591,4610591,4610591,4610591,4610591,4610591,4610591,4610591,2631493,2572298,2513103,0,0,0,0,0,0,
106088,,,,,,,,6,,,,,,,,,,,,,,,,,,
106089,,,,,,,,291254,46624,46624,46624,46624,,,,,,,,,,,,,,
106090,,,,,,,,2,,,,,,,,,,,,,,,,,,
106091,,,,,,,,305,267,267,267,267,267,267,267,267,190,185,181,,,,,,,
106092,,,,,,,,27,,,,,,,,,,,,,,,,,,
106093,,,,,,,,,,,,,,,,,,,,,,,,,,
106094,,,,,,,,19,6,6,6,6,6,6,6,9,8,8,7,,,,,,,
106095,,,,,,,,16,9,9,9,9,9,9,9,9,9,9,8,,,,,,,
106096,,,,,,,,16,13,13,13,13,13,13,13,14,14,13,13,,,,,,,
106097,,,,,,,,1046529,482890,482890,482890,482890,482890,0,0,0,,,,,,,,,,
106098,,,,,,,,40443,15072,15072,15072,15072,15072,15072,15072,15072,,,,,,,,,,
106099,,,,,,,,700,354,354,354,354,354,354,354,361,,,,,,,,,,
106100,,,,,,,,187320,16703,16703,16703,16703,16703,16703,16703,16703,,,,,,,,,,
106101,,,,,,,,126588,8000,8000,8000,8000,8000,8000,8000,8000,,,,,,,,,,
106102,,,,,,,,34,1,1,1,1,1,1,1,1,,,,,,,,,,
106103,,,,,,,,44984,32448,32448,32448,0,,,,,,,,,,,,,,
106104,,,,,,,,18,0,0,0,0,,,,,,,,,,,,,,
106105,,,,,,,,599094,15074,15074,15074,15074,15074,15074,15074,289088,,,,,,,,,,
106106,,,,,,,,25,2,2,2,2,2,2,2,2,,,,,,,,,,
106107,,,,,,,,54,4,4,4,4,4,4,4,4,,,,,,,,,,
106108,,,,,,,,27,,,,,,,,,,,,,,,,,,
106110,,,,,,,,15,0,0,0,0,0,0,0,0,,,,,,,,,,
106112,,,,,,,,5,4,4,4,4,4,4,4,4,3,3,3,,,,,,,
106113,,,,,,,,748173,409215,409215,409215,409215,409215,409215,409215,409478,398924,389951,380977,,,,,,,
106114,,,,,,,,10343937,1323342,1323342,1323342,1323342,1323342,1323342,1323342,1349506,,,,,,,,,,
106115,,,,,,,,834169,7157,7157,7157,7157,7157,7157,7157,7157,3724,3640,3556,,,,,,,
106126,,,,,,,,11512,,,,,,,,,,,,,,,,,,
106127,,,,,,,,184172,52656,52656,52656,52656,52656,0,0,0,,,,,,,,,,
106128,,,,,,,,3647,3442,3442,3442,3442,3442,3442,3442,3442,,,,,,,,,,
106130,,,,,,,,246000,,,,,,,,,,,,,,,,,,
106132,,,,,,,,52439,,,,,,,,,,,,,,,,,,
106133,,,,,,,,9,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
106136,,,,,,,,100,2,2,2,2,2,2,2,2,,,,,,,,,,
106138,,,,,,,,567881,,,,,,,,,,,,,,,,,,
106153,,,,,,,,20,17,17,17,17,17,17,17,17,17,16,16,,,,,,,
106154,,,,,,,,8,0,0,0,0,0,0,0,0,,,,,,,,,,
106155,,,,,,,,453353,302003,302003,302003,302003,302003,302003,302003,303689,,,,,,,,,,
106156,,,,,,,,249,16,16,16,16,16,16,16,17,,,,,,,,,,
106157,,,,,,,,721536,590650,590650,590650,590650,590650  231872  ****,590650  231872  ****,590650  231872  ****,591822  232442  ****,664846,649890,634934,,,,,,,
106158,,,,,,,,1037,492,492,492,492,492,492,492,498,473,463,452,,,,,,,
106159,,,,,,,,520562,190525,190525,190525,190525,190525,238970,238970,238970,,,,,,,,,,
106162,,,,,,,,318284,39263,0,0,0,,,,,,,,,,,,,,
106163,,,,,,,,35734,16906,16906,16906,16906,16906,16906,16906,16917,15522,15173,14824,,,,,,,
106164,,,,,,,,19,7,7,7,7,7,7,7,7,5,5,5,,,,,,,
106165,,,,,,,,,,,,,,,,,,,,,,,,,,
106167,,,,,,,,,,,,,,,,,,,,,,,,,,
