account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1020625,,,,,,,,,,,,,,,,,,,,,,,,,,
106049,,,,,,,,A*,A,A,A*,A,A,A,A,,,,,,,,,,,
106068,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106071,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106088,,,,,,,,B,B,A,A,A,A,A,A,,,,,,,,,,,
106089,,,,,,,,B,B,B,B,B,B,B,B,,,,,,,,,,,
106090,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106091,,,,,,,,A*,A,A*,A,A,A,A,A,,,,,,,,,,,
106092,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106093,,,,,,,,A,A,A,A,A,A,A,,,,,,,,,,,,
106094,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106095,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106096,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106097,,,,,,,,A,A,A,A,A,B*,,,,,,,,,,,,,
106098,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106099,,,,,,,,A,A,A,A*,A*,A*,A*,A*,,,,,,,,,,,
106100,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106101,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106102,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106103,,,,,,,,A,A,A,A,,,,,,,,,,,,,,,
106104,,,,,,,,A*,A,A,,,,,,,,,,,,,,,,
106105,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106106,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106107,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106108,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106110,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106112,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106113,,,,,,,,C,A,A,A,A,A,A,A,,,,,,,,,,,
106114,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106115,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106126,,,,,,,,A*,A*,A*,A*,A,A*,A*,A*,,,,,,,,,,,
106127,,,,,,,,A*,A,A,A,A,A,,,,,,,,,,,,,
106128,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106130,,,,,,,,A,,,,,,,,,,,,,,,,,,
106132,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106133,,,,,,,,B*,B,A,A,A,A,A,A,,,,,,,,,,,
106136,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106138,,,,,,,,A,,,,,,,,,,,,,,,,,,
106153,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106154,,,,,,,,B,A,A,A,A,A*,,,,,,,,,,,,,
106155,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106156,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106157,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106158,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106159,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106162,,,,,,,,A,A,A*,,,,,,,,,,,,,,,,
106163,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106164,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106165,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106167,,,,,,,,B*,B,A,A,A,A,A,A,,,,,,,,,,,
106168,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106169,,,,,,,,A,A,A,A,A,A,A,A*,,,,,,,,,,,
106173,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106174,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106176,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106177,,,,,,,,A*,A,A,A,A,A,A,,,,,,,,,,,,
106178,,,,,,,,A*,A,B,B,B,B,,,,,,,,,,,,,
106181,,,,,,,,A*,A,A,,,,,,,,,,,,,,,,
106182,,,,,,,,A,A,A,A,A,A,A,A*,,,,,,,,,,,
106183,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106185,,,,,,,,A*,A*,A,A,A,A,A,A,,,,,,,,,,,
106186,,,,,,,,A,A,A,A,A,A*,A,A,,,,,,,,,,,
106187,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106188,,,,,,,,A*,A,A,A,A,A,A,,,,,,,,,,,,
106192,,,,,,,,A,A,A,A,A,A,,,,,,,,,,,,,
106193,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106194,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106196,,,,,,,,A,A,A*,B,B,B,B,B,,,,,,,,,,,
106197,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106199,,,,,,,,A*,A*,A*,A,A*,A*,A*,A,,,,,,,,,,,
106208,,,,,,,,C,A,A*,A*,A*,A,A,A,,,,,,,,,,,
106209,,,,,,,,A,A,A,A,B,A,A,A,,,,,,,,,,,
106228,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106229,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106230,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106231,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106232,,,,,,,,A,A*,A*,,,,,,,,,,,,,,,,
106234,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106237,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106240,,,,,,,,A,A,A,A,A,A,A,,,,,,,,,,,,
106241,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106243,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106245,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106246,,,,,,,,A,A,A,C*,,,,,,,,,,,,,,,
106247,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106249,,,,,,,,B,B,B,B,B,B,B,B,,,,,,,,,,,
106250,,,,,,,,A,A,A,A,A,A,A,,,,,,,,,,,,
106251,,,,,,,,A*,A,A,A,A,A,,,,,,,,,,,,,
106252,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106253,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106254,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106256,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106257,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106258,,,,,,,,A,A,A,A*,A,A,A,A,,,,,,,,,,,
106259,,,,,,,,A,A,A,A,A,A,A*,A*,,,,,,,,,,,
106260,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106262,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106270,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106271,,,,,,,,A*,A,A,A*,A*,A*,A,A,,,,,,,,,,,
106272,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106273,,,,,,,,C*,B,B,B,B,B,B,B,,,,,,,,,,,
106275,,,,,,,,A,A,A,A,A,A,A*,A*,,,,,,,,,,,
106276,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106279,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106282,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106283,,,,,,,,C*,B*,A*,A*,A,A*,A,A*,,,,,,,,,,,
106284,,,,,,,,A,A,A,A,A,A,,,,,,,,,,,,,
106285,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106287,,,,,,,,A,A,A,A,A,A,A*,,,,,,,,,,,,
106290,,,,,,,,C*,C,B,A,A,A,A,A,,,,,,,,,,,
106291,,,,,,,,A,A,A,A,A,A,A,A*,,,,,,,,,,,
106294,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106297,,,,,,,,A,A*,A*,A*,A,A,A,A,,,,,,,,,,,
106299,,,,,,,,A,A,A,A*,A,A,A,A,,,,,,,,,,,
106300,,,,,,,,A,A,A*,A,A,A,A,A,,,,,,,,,,,
106306,,,,,,,,B,A,A,A,A,A,A,A,,,,,,,,,,,
106309,,,,,,,,C*,C,A,A,A,A,,,,,,,,,,,,,
106310,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106311,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106319,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106320,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106321,,,,,,,,B,A,A,A,A,A,A,A,,,,,,,,,,,
106322,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106326,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106327,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106338,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106339,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106340,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106362,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106366,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106369,,,,,,,,A,A,A,A,A,,,,,,,,,,,,,,
106371,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106381,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106385,,,,,,,,A,A*,A,A,A,A,A,A,,,,,,,,,,,
106388,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106395,,,,,,,,B,B,A,A,A,A*,A,A,,,,,,,,,,,
106429,,,,,,,,A,A,A*,A,A,,,,,,,,,,,,,,
106433,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106453,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106457,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106467,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106472,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106479,,,,,,,,A,A,A,A,A,A,,,,,,,,,,,,,
106512,,,,,,,,A,A,A,A,A,A*,A,A,,,,,,,,,,,
106513,,,,,,,,A,A,C,A,A,A,A,A,,,,,,,,,,,
106516,,,,,,,,A*,A,A,A,A,,,,,,,,,,,,,,
106549,,,,,,,,A*,A,A,A,A,A,A,,,,,,,,,,,,
106558,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106560,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106563,,,,,,,,A,A,A,A*,A,A,A,A,,,,,,,,,,,
106564,,,,,,,,A*,A,A,A,A,A,,,,,,,,,,,,,
106575,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106577,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106578,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106580,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106585,,,,,,,,A,A,A,A,A,A,A,B*,,,,,,,,,,,
106589,,,,,,,,B*,B,A,A,A,A,A,A,,,,,,,,,,,
106592,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106593,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106598,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106599,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106602,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106605,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106606,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106607,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106608,,,,,,,,A,A,A*,A,A,A,A,A,,,,,,,,,,,
106610,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106615,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106619,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106623,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106636,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106639,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106644,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106647,,,,,,,,A*,A,A,A*,A*,A*,A*,A*,,,,,,,,,,,
106652,,,,,,,,A,A,A,A,A,A*,A,A,,,,,,,,,,,
106659,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106660,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106663,,,,,,,,A,A*,A*,A,A,A,A,A*,,,,,,,,,,,
106671,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106672,,,,,,,,B*,A,A,A,A,A,A,A,,,,,,,,,,,
106677,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106686,,,,,,,,A,A,A,A,A*,A,A,A,,,,,,,,,,,
106698,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106701,,,,,,,,A,A,A,A,,,,,,,,,,,,,,,
106726,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106736,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106775,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106779,,,,,,,,C*,A,A,A,A,A,A,A,,,,,,,,,,,
106780,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106794,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106803,,,,,,,,A*,A,A,A,A,A,A,A*,,,,,,,,,,,
106804,,,,,,,,A*,A,,,,,,,,,,,,,,,,,
106814,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106849,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106850,,,,,,,,C,A,A,A,A,,,,,,,,,,,,,,
106851,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106852,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106853,,,,,,,,C,A,A,A,A,A,A,A,,,,,,,,,,,
106854,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106856,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106857,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106858,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106859,,,,,,,,A,A,A,A,A*,A,A,A,,,,,,,,,,,
106860,,,,,,,,A,,,,,,,,,,,,,,,,,,
106861,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106862,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106863,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106865,,,,,,,,B,A,A,A,A,A,A,A,,,,,,,,,,,
106871,,,,,,,,A,A,A,A,A,A*,A,A,,,,,,,,,,,
106873,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106874,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106876,,,,,,,,C,A*,A,A,A,A,A,A,,,,,,,,,,,
106877,,,,,,,,A,A,A,A,A,,,,,,,,,,,,,,
106882,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106885,,,,,,,,C,A,A,A,A,A,A,A,,,,,,,,,,,
106886,,,,,,,,A,A,A,A*,A,A,A,A,,,,,,,,,,,
106887,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106888,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106890,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106891,,,,,,,,C,A,A,A,A,A,A,A,,,,,,,,,,,
106892,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106895,,,,,,,,C,A,A,A,A,A,,,,,,,,,,,,,
106896,,,,,,,,A*,A,A,A,A,A*,A,A,,,,,,,,,,,
106897,,,,,,,,C,A,A,A,A,A,A,A,,,,,,,,,,,
106899,,,,,,,,C*,A*,A,A,A,A,A,A,,,,,,,,,,,
106902,,,,,,,,A*,A,A,A,A,A,A,A,,,,,,,,,,,
106903,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106911,,,,,,,,C*,A,A,A,A,A,A,A,,,,,,,,,,,
106912,,,,,,,,A,A,A,A*,A*,A*,A*,A,,,,,,,,,,,
106914,,,,,,,,A,A,A,A,A,A,A,A,,,,,,,,,,,
106919,,,,,,,,A,A,A,A,A,A*,A*,A*,,,,,,,,,,,
