account_id,national_administrator,account_type,account_holder_name,aircraft_operator_id,company_registration_number,account_status,type,name,legal_entity_identifier,first_address_line,second_address_line,postcode,city,country,telephone_1,telephone_2,email
90574,Austria,100-Holding Account,Jetalliance Flugbetriebs GmbH,200103,FN 203001g,closed,Account holder,Jetalliance Flugbetriebs GmbH,,Flugplatz 1,,2542,Kottingbrunn,Austria,,,
90727,Austria,100-Holding Account,Glock GmbH,200108,FN64142b,closed,Account holder,Glock GmbH,,Loibstrasse 16,,9170,Ferlach,Austria,,,
90728,Austria,100-Holding Account,Glock Services GmbH,200109,FN329154a,closed,Account holder,Glock Services GmbH,,Schneeweisshofweg 32,,9521,Treffen am Ossiachersee,Austria,,,
90423,Austria,100-Holding Account,Austrian Airlines AG,200146,111 000k,open,Account holder,Austrian Airlines AG,,Office Park 2,"POB 100, 1300 Flughafen Wien-Schwechat",1300,Wien-Flughafen,Austria,,,
90730,Austria,100-Holding Account,Tupack Verpackungen Gesellschaft m.b.H.,200165,60238 k,closed,Account holder,Tupack Verpackungen Gesellschaft m.b.H.,,Warneckestrasse 5,,1113,Wien,Austria,,,
90705,Austria,100-Holding Account,Air Charter Limited,200180,FL-0001.021.205-3,open,Account holder,Air Charter Limited,,AEulestrasse 5,,9490,Vaduz,Liechtenstein,,,
90607,Austria,100-Holding Account,International Jet Management GmbH,200265,242653v,open,Account holder,International Jet Management GmbH,,Concorde Business Park 2/F14,,2320,Wien-Schwechat,Austria,,,
90572,Austria,100-Holding Account,NIKI Luftfahrt GmbH,200433,FN230533w,open,Account holder,NIKI Luftfahrt GmbH,,"Office Park I, Top B03",,1300,Vienna-Airport,Austria,,,
90788,Austria,100-Holding Account,Ingrid Flick,200442,,closed,Account holder,Ingrid Flick,,Auen Süduferstraße 11a,,9220,Schiefling am Wörther See,Austria,,,
106246,Austria,100-Holding Account,InterSky Luftfahrt GmbH,201018,FN 215648 f,closed,Account holder,InterSky Luftfahrt GmbH,,Bahnhofstrasse 10,,6900,Bregenz,Austria,,,
106956,Austria,100-Holding Account,VistaJet Luftfahrtunternehmen GmbH,201342,FN 273081 S,closed,Account holder,VistaJet Luftfahrtunternehmen GmbH,,Sterneckstrasse 35,,5020,Salzburg,Austria,,,
108150,Austria,100-Holding Account,The Flying Bulls,201494,FN151033h,open,Account holder,The Flying Bulls,,Wilhelm Spazier Strasse,Hangar 8,5020,Salzburg,Austria,,,
108417,Austria,100-Holding Account,Michael Strasser GmbH & Co. KG,201505,FN28657v,closed,Account holder,Michael Strasser GmbH & Co. KG,,Laim 101,,5340,St. Gilgen,Austria,,,
106794,Austria,100-Holding Account,Austin Jet Holding GmbH,201519,FN 95323g,open,Account holder,Austin Jet Holding GmbH,,Parkring 12,,1010,Wien,Austria,,,
