account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1020625,,,,,,,,,,,,,,,,,,,,,,,,,,
106049,,,,,,,,1945,2523,1060,1295,1101,1473,1062,1247,,,,,,,,,,,
106068,,,,,,,,2130,,6292,2360,2049,623,396,550,274,,,,,,,,,,
106071,,,,,,,,7456718,,13248289,7400795,8438841,9245535,9879100,10452411,4165343,,,,,,,,,,
106088,,,,,,,,,,13,,,,,,,,,,,,,,,,
106089,,,,,,,,53704,,39546,38666,38877,,,,,,,,,,,,,,
106090,,,,,,,,18,,,,,,,,,,,,,,,,,,
106091,,,,,,,,5785,7000,1308,5118,3666,989,2074,1664,250,,,,,,,,,,
106092,,,,,,,,945,,,54,181,271,170,193,,,,,,,,,,,
106093,,,,,,,,12,,,,,,,,,,,,,,,,,,
106094,,,,,,,,161,,,,,,,,,,,,,,,,,,
106095,,,,,,,,131,,,,,,,,,,,,,,,,,,
106096,,,,,,,,148,,,,,,,,,,,,,,,,,,
106097,,,,,,,,1091893,,1246713,504354,558580,,,,,,,,,,,,,,
106098,,,,,,,,73756,,130818,57451,48408,60230,24835,29119,39119,,,,,,,,,,
106099,,,,,,,,10159,,22645,9558,7902,7755,6910,9513,,,,,,,,,,,
106100,,,,,,,,280163,,77198,53092,58077,56478,54526,79721,21233,,,,,,,,,,
106101,,,,,,,,117058,,29139,14581,16357,18327,15210,14526,17594,,,,,,,,,,
106102,,,,,,,,370,,488,95,97,,197,327,,,,,,,,,,,
106103,,,,,,,,82259,,125594,61092,,,,,,,,,,,,,,,
106104,,,,,,,,747,,,,,,,,,,,,,,,,,,
106105,,,,,,,,1228129,,76631,13623,349,244,250,238,,,,,,,,,,,
106106,,,,,,,,81,,,,,,,,,,,,,,,,,,
106107,,,,,,,,102,,,,,,,,,,,,,,,,,,
106108,,,,,,,,12,,52,41,19,16,41,39,,,,,,,,,,,
106110,,,,,,,,276,,,,,,,,,,,,,,,,,,
106112,,,,,,,,65,,46,153,160,61,91,91,,,,,,,,,,,
106113,,,,,,,,851757,,1203591,616600,762960,845384,826826,861113,349928,,,,,,,,,,
106114,,,,,,,,2543550,,5036541,2564213,2658086,2679389,2703408,2598139,898283,,,,,,,,,,
106115,,,,,,,,4107,,6777,3670,3260,3568,2511,988,62,,,,,,,,,,
106126,,,,,,,,,,121,123,,95,103,55,,,,,,,,,,,
106127,,,,,,,,172816,,139495,56722,50830,53719,,,,,,,,,,,,,
106128,,,,,,,,21303,,143055,74947,73139,77851,94914,158946,50358,,,,,,,,,,
106130,,,,,,,,9874,,,,,,,,,,,,,,,,,,
106132,,,,,,,,94,,110,21,9,3,32,126,25,,,,,,,,,,
106133,,,,,,,,,,22,,,,,,,,,,,,,,,,
106136,,,,,,,,85,,162,65,108,208,,16,,,,,,,,,,,
106138,,,,,,,,45781,,,,,,,,,,,,,,,,,,
106153,,,,,,,,423,486,,,,,,,,,,,,,,,,,
106154,,,,,,,,,23,,,,,119,,,,,,,,,,,,
106155,,,,,,,,785829,,1391877,684179,764877,1014375,1216774,1348445,268700,,,,,,,,,,
106156,,,,,,,,290,,425,127,198,246,59,,,,,,,,,,,,
106157,,,,,,,,1264582,,2915542,1840120,2014935,1995184,2167198,2192251,628048,,,,,,,,,,
106158,,,,,,,,10852,,21628,11470,9648,8722,6763,6230,,,,,,,,,,,
106159,,,,,,,,474581,,592663,217758,207406,167843,102266,145622,20590,,,,,,,,,,
106162,,,,,,,,242974,,1679,,,,,,,,,,,,,,,,
106163,,,,,,,,38710,,43477,25091,23687,22595,36700,41199,43023,,,,,,,,,,
106164,,,,,,,,97,,,,,,,,,,,,,,,,,,
106165,,,,,,,,15,,,,,,,,,,,,,,,,,,
106167,,,,,,,,,,14,,,,,,,,,,,,,,,,
106168,,,,,,,,302,,,,,,,,,,,,,,,,,,
106169,,,,,,,,204227,,36093,24344,29593,32079,30120,19267,11152,,,,,,,,,,
106173,,,,,,,,438,,726,,126,244,438,518,,,,,,,,,,,
106174,,,,,,,,238,,1834,1766,8137,7711,5533,1796,197,,,,,,,,,,
