account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1020625,,,,,,,,,,,,,,,,2603,,,,,,,,,,
106049,,,,,,,,1991,1949,1588,1295,1101,1473,1062,1247,Excluded,Excluded,,,,,,,,,
106068,,,,,,,,2130,2507,3785,2360,2049,623,396,550,274,,,,,,,,,,
106071,,,,,,,,7456718,6608939,6639350,7400795,8438841,9245535,9879100,10452411,4165343,,,,,,,,,,
106088,,,,,,,,13,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106089,,,,,,,,352064,81872,49012,38666,38877,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106090,,,,,,,,18,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106091,,,,,,,,5785,3944,4364,5118,3666,989,2074,1664,232,,,,,,,,,,
106092,,,,,,,,945,Excluded,Excluded,54,181,271,170,193,Excluded,,,,,,,,,,
106093,,,,,,,,12,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106094,,,,,,,,161,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106095,,,,,,,,131,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106096,,,,,,,,148,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106097,,,,,,,,1091893,620540,626173,504354,558580,488431,Excluded,Excluded,Excluded,,,,,,,,,,
106098,,,,,,,,73756,66436,64382,57451,48408,60230,24835,29119,39119,,,,,,,,,,
106099,,,,,,,,10159,10876,11769,9558,7902,7755,6910,9513,Excluded,,,,,,,,,,
106100,,,,,,,,280163,35453,41745,53092,58077,56478,54526,79721,21233,,,,,,,,,,
106101,,,,,,,,117058,13263,15876,14581,16357,18327,15210,14526,17594,,,,,,,,,,
106102,,,,,,,,370,220,268,95,97,Excluded,197,327,Excluded,,,,,,,,,,
106103,,,,,,,,82259,62181,63413,61092,,,,,,,,,,,,,,,
106104,,,,,,,,747,Excluded,Excluded,,,,,,,,,,,,,,,,
106105,,,,,,,,1228129,39156,37475,13623,349,244,250,238,,,,,,,,,,,
106106,,,,,,,,81,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106107,,,,,,,,102,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106108,,,,,,,,12,26,26,41,19,16,41,39,Excluded,,,,,,,,,,
106110,,,,,,,,276,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106112,,,,,,,,65,Excluded,46,153,160,61,91,91,Excluded,,,,,,,,,,
106113,,,,,,,,851757,583713,619878,616600,762960,845384,826826,861113,349777,,,,,,,,,,
106114,,,,,,,,2543550,2532735,2503806,2564213,2658086,2679389,2703408,2598139,873197,,,,,,,,,,
106115,,,,,,,,4107,3451,3326,3670,3260,3568,2511,988,62,,,,,,,,,,
106126,,,,,,,,0,67,54,123,Excluded,95,103,55,30,,,,,,,,,,
106127,,,,,,,,172816,63578,75917,56722,50830,53719,,,,,,,,,,,,,
106128,,,,,,,,21303,67462,75593,74947,73139,77851,94914,158946,50350,,,,,,,,,,
106130,,,,,,,,9874,,,,,,,,,,,,,,,,,,
106132,,,,,,,,94,93,17,21,9,3,32,126,25,,,,,,,,,,
106133,,,,,,,,22,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106136,,,,,,,,85,104,58,65,108,208,Excluded,16,Excluded,,,,,,,,,,
106138,,,,,,,,45781,,,,,,,,,,,,,,,,,,
106153,,,,,,,,424,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106154,,,,,,,,23,Excluded,Excluded,Excluded,Excluded,119,,,,,,,,,,,,,
106155,,,,,,,,785829,672184,719693,684179,764877,1014374,1216774,1348446,264719,,,,,,,,,,
106156,,,,,,,,290,191,234,127,198,246,59,Excluded,Excluded,,,,,,,,,,
106157,,,,,,,,1264582,1303932,1611610,1840120,2014935,1995184,2167198,2192251,623834,,,,,,,,,,
106158,,,,,,,,10852,11673,9955,11470,9648,8722,6763,6230,Excluded,,,,,,,,,,
106159,,,,,,,,474581,312860,279803,217758,207406,167843,102266,145622,20590,,,,,,,,,,
106162,,,,,,,,242974,1679,0,,,,,,,,,,,,,,,,
106163,,,,,,,,38710,22078,21399,25091,23687,22595,36700,41199,43015,,,,,,,,,,
106164,,,,,,,,97,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106165,,,,,,,,15,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106167,,,,,,,,14,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106168,,,,,,,,302,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106169,,,,,,,,204227,16708,19385,24344,29593,32079,30120,19267,11152,,,,,,,,,,
106173,,,,,,,,437,466,260,0,126,244,438,518,0,,,,,,,,,,
106174,,,,,,,,238,1065,769,1766,8137,7711,5533,1796,169,,,,,,,,,,
106176,,,,,,,,2264,68,71,50,67,67,19,52,64,,,,,,,,,,
106177,,,,,,,,136,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106178,,,,,,,,206965,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106181,,,,,,,,0,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,
106182,,,,,,,,39572,35166,34688,34372,31520,10357,10414,11545,5202,,,,,,,,,,
106183,,,,,,,,0,7,Excluded,0,25,0,56,0,0,,,,,,,,,,
106185,,,,,,,,3599,3268,3367,3564,4264,4036,3794,3968,Excluded,,,,,,,,,,
106186,,,,,,,,76,Excluded,Excluded,Excluded,149,54,81,Excluded,Excluded,,,,,,,,,,
106187,,,,,,,,56,Excluded,151,Excluded,Excluded,72,124,Excluded,Excluded,,,,,,,,,,
