country,installation_id,installation_name,installation_city,account_holder,account_status,permit_id,status,latest_update,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,1,Baumit Baustoffe Bad Ischl,Bad Ischl,Calmit GmbH,open,IKA119,Active,2013-12-19 15:47:52,44894,44894,44894,43171,43171,43171,43171,43171,42159,41426,40685,39937,39180,38416,37643,36866
Austria,2,Breitenfelder Edelstahl Mitterdorf,Mitterdorf,Breitenfeld Edelstahl AG,open,IES069,Active,2013-12-19 15:48:16,8492,8492,8492,14063,17155,26429,26429,26429,15118,14856,14590,14322,14051,13776,13499,13221
Austria,3,Ziegelwerk Danreiter Ried im Innkreis,Ried,Ziegelwerk Danreiter GmbH & Co KG,open,IZI155,Active,2013-12-19 15:48:12,7397,7397,7397,5927,5927,5927,5927,5927,3494,3434,3373,3311,3248,3185,3120,3056
Austria,4,Wienerberger Blindenmarkt,Blindenmarkt,Wienerberger Österreich GmbH,closed,IZI146-1,Account Closed,2009-05-08 09:13:58,8335,8335,8335,,,,,,,,,,,,,
Austria,5,Isomax Dekorative Laminate Wiener Neudorf,Wiener Neudorf,FunderMax GmbH,open,ICH113,Active,2013-12-19 15:47:46,24003,24003,24003,27343,27343,27343,27343,27343,26223,25697,25167,24636,24102,23566,23026,22488
Austria,6,Sandoz Werk Kundl,Kundl,SANDOZ GmbH,open,ICH106,Active,2013-12-19 15:47:45,77562,77562,77562,74886,74886,74886,74886,74886,71150,69914,68664,67400,66123,64834,63529,62219
Austria,7,Ziegelwerk Martin Pichler Aschach,Aschach a.d. Donau,Martin Pichler Ziegelwerk GmbH.,open,IZI150,Active,2013-12-19 15:48:10,6556,6556,6556,13646,13646,13646,13646,13646,8476,8328,8180,8029,7877,7724,7569,7412
Austria,8,FHKW Süd StW St. Pölten,St. Pölten,Fernwärme St. Pölten GmbH,open,EFE041,Active,2013-12-19 15:49:37,16238,16238,16238,14294,14294,14294,14294,14294,2566,2296,2034,1780,1535,1297,1067,845
Austria,9,FHKW Nord StW St. Pölten,St. Pölten,Fernwärme St. Pölten GmbH,open,EFE040,Active,2013-12-19 15:47:40,60790,60790,60790,52900,52900,52900,52900,52900,35182,31484,27891,24412,21043,17783,14628,11586
Austria,10,Vetropack Pöchlarn,Pöchlarn,Vetropack Austria GmbH,open,IGL173,Active,2013-12-19 15:47:49,51651,51651,51651,49161,49161,49161,49161,49161,50855,49868,48876,47877,46872,45862,44845,43829
Austria,11,Vetropack Kremsmünster,Kremsmünster,Vetropack Austria GmbH,open,IGL172,Active,2013-12-19 15:47:49,59562,59562,59562,63496,63496,63496,63496,63496,66255,65023,63780,62528,61268,59998,58716,57433
Austria,12,Energiepark Donawitz,Leoben,voestalpine Stahl Donawitz GmbH,closed,IVA066,Permit Revoked,2009-05-08 09:13:58,984831,984831,984831,626610,626610,626610,626610,626610,,,,,,,,
Austria,13,"Sinteranl., Hochöfen, Stahlwerk Donawitz",Leoben,voestalpine Stahl Donawitz GmbH,open,IVA065,Active,2013-12-19 15:48:03,1757051,1757051,1757051,1807393,1807393,1807393,1807393,1807393,1918954,1885592,1851839,1817734,1783268,1748463,1713228,1677873
