account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100000,269940,269941,269941,153922,153922,153922,153922,153922,3167,2863,318,312,0,0,0,0,,,,,,,,,,
100001,146438,146438,146438,131200,131197,131197,131197,131197,16892,14553,12401,10544,9130,7762,6436,5160,,,,,,,,,,
100002,10,11,0,,,,,,,,,,,,,,,,,,,,,,,
100003,20,20,0,,,,,,,,,,,,,,,,,,,,,,,
100004,7,6,0,,,,,,,,,,,,,,,,,,,,,,,
100005,194,193,193,217,217,217,217,217,324,271,0,206,178,150,124,49,,,,,,,,,,
100006,0,0,0,0,0,0,0,0,19,17,0,13,11,9,8,7,,,,,,,,,,
100007,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,,,,,,,,,,
100008,1,2,2,3,0,0,0,0,,,,,,,,,,,,,,,,,,
100009,97,98,98,38,35,35,35,35,880,0,0,0,263,111,0,0,,,,,,,,,,
100010,104,105,105,38,38,38,38,38,,,,,,,,,,,,,,,,,,
100011,7,6,6,4,2,2,0,0,,,,,,,,,,,,,,,,,,
100012,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100013,17,16,16,8,8,8,8,8,,,,,,,,,,,,,,,,,,
100014,8607,8608,8608,7229,7227,7227,24801,21286,14692,13500,12339,11213,10120,9059,8032,7039,,,,,,,,,,
100015,4,4,4,5,1,1,1,1,,,,,,,,,,,,,,,,,,
100016,156037,156036,156036,51046,51040,51040,51040,51040,0,0,0,0,0,0,0,0,,,,,,,,,,
100017,207736,207736,207736,179761,179757,179757,183054,183996,44039,41524,39070,36679,34352,32085,29879,27736,,,,,,,,,,
100018,97116,97116,97116,94159,94158,94158,94158,94158,57439,56322,0,0,0,0,0,0,,,,,,,,,,
100019,78041,78040,78040,76056,76053,76053,76053,76053,10433,20504,40274,39533,38784,38028,37262,18247,,,,,,,,,,
100020,86245,86244,86244,83263,83263,83263,83263,83263,63305,61935,60562,59187,57810,56432,55050,53675,,,,,,,,,,
100021,180200,180199,180199,173328,173326,173326,173326,173326,223319,219441,215516,211551,207543,203496,199398,195286,,,,,,,,,,
100022,249980,249979,249979,242356,242354,242354,242354,242354,135029,132350,66336,64793,63251,61708,60162,58624,,,,,,,,,,
100023,8990,8991,8991,8698,8698,8698,8698,8698,17628,16561,12554,10984,9462,7990,6565,5194,,,,,,,,,,
100024,496,497,497,0,4543,4193,4193,4193,3394,3037,2690,2354,2027,1712,1407,1113,,,,,,,,,,
100025,12349,12349,12349,11769,11765,11765,11765,11765,7653,6848,6066,5307,4572,3861,3173,2509,,,,,,,,,,
100026,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100027,34329,34330,34330,39942,39938,39938,39938,39938,30927,30117,29311,28510,27712,26920,26131,25350,,,,,,,,,,
100028,4537,4536,4536,1736,1734,1734,1734,1734,1827,1534,661,1065,459,194,319,252,,,,,,,,,,
100029,333,334,334,12,11,0,0,0,,,,,,,,,,,,,,,,,,
100030,2992,2993,2993,1853,0,0,0,0,,,,,,,,,,,,,,,,,,
100031,1256073,1256073,1256073,859976,859974,859974,859974,859974,296527,250419,215028,188718,163231,138568,114699,91685,,,,,,,,,,
100032,74,74,74,57,57,57,57,57,39,34,0,0,0,0,0,0,,,,,,,,,,
100033,70,69,69,117,115,115,115,115,,,,,,,,,,,,,,,,,,
100034,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100035,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100036,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100037,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100038,21333,21333,21333,17057,17053,17053,17053,17053,11333,10143,8984,7861,6772,5718,4698,3716,,,,,,,,,,
100039,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100040,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100041,0,0,0,1033,1032,1032,1032,1032,2,2,0,0,0,0,0,1,,,,,,,,,,
100042,948692,948693,948693,1006039,1006038,1006038,1006038,1016360,659284  129360  *****,647834  127109  *****,636248  124858  *****,624541  122608  *****,612709  120357  *****,600760  118106  *****,588663  115855  *****,576526  113604  *****,,,,,,,,,,
100043,1239861,1239862,1239862,538347,538346,538346,538346,538346,37023,34011,31079,28235,25474,22798,20202,17693,,,,,,,,,,
100044,148142,148142,148142,140488,140486,140486,140486,140486,31673,31122,30566,30004,29436,28861,28279,27697,,,,,,,,,,
100045,32512,32513,32513,36420,36419,36419,36419,36419,7506,6717,5950,5208,4489,3794,3120,2472,,,,,,,,,,
100046,182617,182618,182618,170720,170719,170719,170719,170719,36309,34633,22723,21512,20327,19169,18035,16931,,,,,,,,,,
100047,62207,62208,62208,65155,65155,65155,65155,65155,29473,28961,28443,27920,27391,26857,26316,25774,,,,,,,,,,
100048,42442,42441,42441,41771,41770,41770,41770,41770,48543,47601,46652,45698,44738  3842  *****,43774  45134  *****,42802  46504  *****,41831  45116  *****,,,,,,,,,,
100049,4351,4350,4350,21684,21681,21681,21681,21681,3509,2980,208,2247,1081,568,193,189,,,,,,,,,,
100050,3897,3897,3897,2229,2225,2225,2225,2225,1886,1700,1518,1341,1170,340,843,689,,,,,,,,,,
100051,0,0,0,0,0,0,0,0,18,16,1,1,11,10,8,4,,,,,,,,,,
100052,94338,94337,94337,8698,8695,8695,8695,8695,8085,7002,6253,5526,4820,4137,1977,1060,,,,,,,,,,
100053,11843,11842,11842,40759,40756,40756,40756,40756,9414,8015,3840,6273,5472,4696,3946,3223,,,,,,,,,,
100054,2895,2896,2896,16821,16817,16817,16817,16817,48081,43342,21087,34253,29912,25709,12414,17720,,,,,,,,,,
100055,37,36,36,10,10,10,10,10,4,4,0,2,2,2,1,0,,,,,,,,,,
100056,0,0,0,17,17,17,17,17,899,811,725,641,559,480,404,332,,,,,,,,,,
100057,0,0,0,104,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
100058,10456,10456,10456,29463,29463,29463,29463,29463,7316,6547,2900,5074,4371,3691,3033,1200,,,,,,,,,,
100059,7716,7716,7716,7186,7185,7185,7185,7185,4994,4701,4415,2880,3863,3597,3337,3085,,,,,,,,,,
100060,15702,15701,15701,10210,10210,10210,10210,10210,11222,10043,8896,7783,6705,5661,4651,3680,,,,,,,,,,
100061,41908,41908,41908,39716,39714,0,0,0,,,,,,,,,,,,,,,,,,
100062,13238,13238,13238,11809,11805,11805,11805,11805,12571,12353,12132,11909,0,0,0,0,,,,,,,,,,
100063,8529,8528,8528,5544,5544,5544,5544,5544,4933,4205,433,425,417,409,401,392,,,,,,,,,,
100064,6786,6786,6786,4245,4243,4243,4243,4243,3898,3330,437,338,332,326,319,312,,,,,,,,,,
100065,17562,17561,17561,12137,12133,12133,12133,12133,8298,2039,0,0,0,0,0,0,,,,,,,,,,
100066,803,802,802,613,613,613,613,613,369,330,291,0,0,0,0,60,,,,,,,,,,
100067,281955,281956,281956,257756,257753,257753,257753,257753,106291,96933,83063,73878,64976,56355,48007,39951,,,,,,,,,,
100068,40527,40528,40528,36997,36993,36993,36993,36993,77704,76352,75000,73648,72296,70944,69592,68240,,,,,,,,,,
100069,19919,19918,19918,20445,20441,20441,20441,20441,,,,,,,,,,,,,,,,,,
100070,0,0,0,0,0,0,0,0,356,319,0,0,0,0,0,0,,,,,,,,,,
100071,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100072,3,3,3,7,6,6,6,6,,,,,,,,,,,,,,,,,,
100073,36629,36630,36630,53843,53842,53842,53842,53842,14897,13331,0,0,0,0,0,0,,,,,,,,,,
100074,1871,1872,1872,192,188,188,188,188,95,85,0,0,57,0,40,16,,,,,,,,,,
100075,2288,2289,2289,7131,7525,7920,7920,7920,3906,3495,3096,677,2334,986,1619,1281,,,,,,,,,,
100076,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100077,44145,44145,44145,12255,12251,12251,12251,12251,37031  6552  *****,33139  20383  *****,29358  18057  *****,25696  15805  *****,22149  13624  *****,18717  11513  *****,15397  9470  *****,12196  7501  *****,,,,,,,,,,
100078,6099,6099,6099,964,960,960,960,960,28896,28394,18324,16033,13811,11662,9582,7581,,,,,,,,,,
100079,21533,21533,21533,7134,7134,7134,7134,7134,,,,,,,,,,,,,,,,,,
100080,1072270,1072271,1072271,350860,350860,350860,350860,350860,,,,,,,,,,,,,,,,,,
100081,929358,929357,929357,304007,304004,304004,304004,304004,,,,,,,,,,,,,,,,,,
100082,2056,2056,2056,1913,1912,1912,1912,1912,326,301,89,78,135,0,0,0,,,,,,,,,,
100083,0,0,0,23,19,19,19,19,47,43,0,0,0,0,0,0,,,,,,,,,,
100084,1420,1420,1420,318,315,315,315,315,1499,1341,594,1039,895,378,155,0,,,,,,,,,,
100085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
100086,0,0,0,13,9,9,9,9,8,7,1,2,0,3,3,2,,,,,,,,,,
100087,378,378,378,404,402,402,402,402,303,252,41,166,5,0,87,34,,,,,,,,,,
100088,0,0,0,0,0,0,0,0,25,21,0,0,7,12,10,0,,,,,,,,,,
100089,135,134,134,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100090,3534,3534,3534,0,0,0,0,0,2562,2397,274,240,206,1773,550,113,,,,,,,,,,
100091,38,37,37,0,0,0,0,0,8,7,7,6,6,5,5,4,,,,,,,,,,
100092,61,60,60,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100093,293,292,292,0,0,0,0,0,85,78,17,17,17,50,44,0,,,,,,,,,,
100094,268,269,269,0,0,0,0,0,133,122,69,46,88,79,69,35,,,,,,,,,,
100095,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100096,878,879,879,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100097,4992713,4992713,4992713,4687117,4687116,4687116,4687116,4687116,3731926,3663067,3593906,3524553,3455976,3386820,3316893,3246804,,,,,,,,,,
100098,8232,8231,8231,7344,7340,7340,7340,7340,95553,93893,92214,90517,88803,87072,85318,83558,,,,,,,,,,
100099,28,28,28,,,,,,,,,,,,,,,,,,,,,,,
100100,154,154,154,,,,,,,,,,,,,,,,,,,,,,,
100101,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
100102,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
100103,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100104,47,46,46,93,92,92,92,92,586,524,233,203,0,296,243,192,,,,,,,,,,
100105,419,420,420,196,196,196,196,196,1439,644,285,0,0,0,0,0,,,,,,,,,,
100106,6185,6185,6185,5041,5039,5039,5039,5039,4749,4250,941,0,0,0,0,0,,,,,,,,,,
100107,220870,220869,220869,176648,176646,176646,176646,176646,88372  4093  *****,75673  11329  *****,67038  10036  *****,58676  8784  *****,50578  7572  *****,42742  6399  *****,35159  5263  *****,27848  4169  *****,,,,,,,,,,
100108,56,57,57,22,22,22,22,22,0,0,0,0,0,0,0,0,,,,,,,,,,
100109,1312,1312,1312,990,987,987,987,987,815,0,0,0,0,0,0,0,,,,,,,,,,
