account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100000,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,
100001,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100002,A,A,,,C,C,,,,,,,,,,,,,,,,,,,,
100003,A,A,,,C,C,,,,,,,,,,,,,,,,,,,,
100004,A,A,,,C,C,,,,,,,,,,,,,,,,,,,,
100005,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100006,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100007,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100008,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,
100009,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100010,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100011,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,
100012,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100013,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100014,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100015,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100016,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,
100017,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100018,A*,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,
100019,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100020,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100021,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,,,,,,,,,,,
100022,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100023,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100024,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100025,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100026,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100027,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100028,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100029,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,
100030,A,A,A,C*,C,C,,,,,,,,,,,,,,,,,,,,
100031,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100032,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100033,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100034,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100035,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100036,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100037,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100038,A,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100039,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100040,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,
100041,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100042,A*,A*,A*,A*,A*,A*,A*,A*,A*,A*,A*,A*,A*,A*,A*,,,,,,,,,,,
100043,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100044,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100045,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100046,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100047,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100048,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100049,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100050,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100051,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100052,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100053,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100054,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100055,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100056,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100057,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100058,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100059,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100060,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100061,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,
100062,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,
100063,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
