datetime,open,high,low,settle,change,wave,volume,prev_day_open_interest,efp_volume,efs_volume,block_volume,close
2008-04-08,24.87,24.87,24.87,24.87,24.87,,,0.0,,,,49.74
2008-04-09,25.05,25.05,25.05,25.05,0.18,,,0.0,,,,25.23
2008-04-10,25.79,25.79,25.79,25.79,0.74,,,0.0,,,,26.529999999999998
2008-04-11,25.7,25.7,25.7,25.7,-0.09,,,0.0,,,,25.61
2008-04-14,26.34,26.34,26.34,26.34,0.64,,,0.0,,,,26.98
2008-04-15,26.47,26.47,26.47,26.47,0.13,,,0.0,,,,26.599999999999998
2008-04-16,26.15,26.15,26.15,26.15,-0.32,,,0.0,,,,25.83
2008-04-17,26.07,26.07,26.07,26.07,-0.08,,,0.0,,,,25.990000000000002
2008-04-18,25.87,25.87,25.87,25.87,-0.2,,,0.0,,,,25.67
2008-04-21,26.7,26.7,26.7,26.7,0.83,,,0.0,,,,27.529999999999998
2008-04-22,26.71,26.71,26.71,26.71,0.01,,,0.0,,,,26.720000000000002
2008-04-23,26.38,26.38,26.38,26.38,-0.33,,,0.0,,,,26.05
2008-04-24,25.87,25.87,25.87,25.87,-0.51,,,0.0,,,,25.36
2008-04-25,26.13,26.13,26.13,26.13,0.26,,,0.0,,,,26.39
2008-04-28,26.01,26.01,26.01,26.01,-0.12,,,0.0,,,,25.89
2008-04-29,25.58,25.58,25.58,25.58,-0.43,,,0.0,,,,25.15
2008-04-30,25.31,25.31,25.31,25.31,-0.27,,,0.0,,,,25.04
2008-05-01,24.95,24.95,24.95,24.95,-0.36,,,0.0,,,,24.59
2008-05-02,25.81,25.81,25.81,25.81,0.86,,,0.0,,,,26.669999999999998
2008-05-06,26.69,26.69,26.69,26.69,,,,0.0,,,,
2008-05-07,26.4,26.4,26.4,26.4,-0.29,,,0.0,,,,26.11
2008-05-08,26.27,26.27,26.27,26.27,-0.13,,,0.0,,,,26.14
2008-05-09,26.52,26.52,26.52,26.52,0.25,,,0.0,,,,26.77
2008-05-12,26.74,26.74,26.74,26.74,0.22,,,0.0,,,,26.959999999999997
2008-05-13,26.37,26.37,26.37,26.37,-0.37,,,0.0,,,,26.0
2008-05-14,25.78,25.78,25.78,25.78,-0.59,,,0.0,,,,25.19
2008-05-15,26.01,26.01,26.01,26.01,0.23,,0.0,0.0,0.0,0.0,0.0,26.240000000000002
2008-05-16,26.21,26.21,26.21,26.21,0.2,,,0.0,,,,26.41
2008-05-19,26.61,26.61,26.61,26.61,0.4,,,0.0,,,,27.009999999999998
2008-05-20,26.66,26.66,26.66,26.66,0.05,,,0.0,,,,26.71
2008-05-21,27.03,27.03,27.03,27.03,0.37,,,0.0,,,,27.400000000000002
2008-05-22,27.41,27.41,27.41,27.41,0.38,,,0.0,,,,27.79
2008-05-23,27.41,27.41,27.41,27.41,0.0,,,0.0,,,,27.41
2008-05-26,27.4,27.4,27.4,27.4,-0.01,,,0.0,,,,27.389999999999997
2008-05-27,27.59,27.59,27.59,27.59,0.19,,,0.0,,,,27.78
2008-05-28,27.42,27.42,27.42,27.42,-0.17,,,0.0,,,,27.25
2008-05-29,27.79,27.79,27.79,27.79,0.37,,,0.0,,,,28.16
2008-05-30,27.33,27.33,27.33,27.33,-0.46,,,0.0,,,,26.869999999999997
2008-06-02,27.56,27.56,27.56,27.56,0.23,,,0.0,,,,27.79
2008-06-03,28.39,28.39,28.39,28.39,0.83,,,0.0,,,,29.22
2008-06-04,27.84,27.84,27.84,27.84,-0.55,,,0.0,,,,27.29
2008-06-05,27.69,27.69,27.69,27.69,-0.15,,,0.0,,,,27.540000000000003
2008-06-06,28.86,28.86,28.86,28.86,1.17,,,0.0,,,,30.03
2008-06-09,28.79,28.79,28.79,28.79,-0.07,,,0.0,,,,28.72
2008-06-10,28.52,28.52,28.52,28.52,-0.27,,,0.0,,,,28.25
2008-06-11,28.63,28.63,28.63,28.63,0.11,,,0.0,,,,28.74
2008-06-12,28.47,28.47,28.47,28.47,-0.16,,,0.0,,,,28.31
2008-06-13,28.32,28.32,28.32,28.32,-0.15,,,0.0,,,,28.17
2008-06-16,28.45,28.45,28.45,28.45,0.13,,,0.0,,,,28.58
2008-06-17,28.55,28.55,28.55,28.55,0.1,,,0.0,,,,28.650000000000002
2008-06-18,28.84,28.84,28.84,28.84,0.29,,,0.0,,,,29.13
2008-06-19,29.04,29.04,29.04,29.04,0.2,,,0.0,,,,29.24
2008-06-20,28.83,28.83,28.83,28.83,-0.21,,,0.0,,,,28.619999999999997
2008-06-23,29.28,29.28,29.28,29.28,0.45,,,0.0,,,,29.73
2008-06-24,29.45,29.45,29.45,29.45,0.17,,,0.0,,,,29.62
2008-06-25,29.27,29.27,29.27,29.27,-0.18,,,0.0,,,,29.09
2008-06-26,29.77,29.77,29.77,29.77,0.5,,,0.0,,,,30.27
2008-06-27,30.24,30.24,30.24,30.24,0.47,,,0.0,,,,30.709999999999997
2008-06-30,30.79,30.79,30.79,30.79,0.55,,,0.0,,,,31.34
2008-07-01,31.71,31.71,31.71,31.71,0.92,,,0.0,,,,32.63
2008-07-02,30.26,30.26,30.26,30.26,-1.45,,,0.0,,,,28.810000000000002
2008-07-03,29.74,29.74,29.74,29.74,-0.52,,,0.0,,,,29.22
2008-07-04,30.1,30.1,30.1,30.1,0.36,,,0.0,,,,30.46
2008-07-07,29.82,29.82,29.82,29.82,-0.28,,,0.0,,,,29.54
